seller_id_values,seller_city,seller_state,total_products,total_orders,Revenue_2016,Revenue_2017,Revenue_2018,total_revenue
S00013,São Bernardo do Campo,SP,1,1,0,0,215.95,215.95
S00015,curitiba,PR,3,3,0,0,137.48,137.48
S00016,curitiba,PR,26,26,0,2089.37,2089.37,4178.74
S00019,ibitinga,SP,38,38,0,5926.63,5926.63,11853.26
S00021,catanduva,SP,9,9,0,537.07,537.07,1074.14
S00024,sa~o paulo,SP,31,31,0,0,1494.16,1494.16
S00028,sa~o paulo,SP,2,2,250.8,250.8,0,501.6
S00031,ibitinga,SP,4,4,0,0,748.64,748.64
S00034,contagem,MG,16,16,0,1693.33,1693.33,3386.66
S00038,sao jose do rio preto,SP,7,7,5003.57,5003.57,0,10007.14
S00040,blumenau,SC,8,8,0,0,240.26,240.26
S00053,cosmopolis,SP,11,11,0,4305.09,4305.09,8610.18
S00055,sa~o paulo,SP,23,23,0,1579.26,1579.26,3158.52
S00059,rodeio,SC,4,4,0,2970.42,0,2970.42
S00062,sa~o paulo,SP,6,6,0,0,421.2,421.2
S00066,sa~o paulo,SP,1,1,0,0,59.39,59.39
S00070,alfenas,MG,66,66,0,7438.93,7438.93,14877.86
S00077,paincandu,PR,9,9,0,10918.74,0,10918.74
S00083,Belo Horizonte,MG,18,18,0,1862.33,1862.33,3724.66
S00087,sa~o paulo,SP,33,33,0,3578.4,3578.4,7156.8
S00090,saquarema,RJ,15,15,555.49,555.49,0,1110.98
S00097,sa~o paulo,SP,2,2,0,0,759.59,759.59
S00105,botucatu,SP,18,18,0,2484.39,2484.39,4968.78
S00114,Belo Horizonte,MG,1,1,0,0,605.57,605.57
S00115,marilia,SP,17,17,0,1144.24,0,1144.24
S00119,osasco,SP,27,27,0,1559.73,1559.73,3119.46
S00126,contagem,MG,1,1,0,0,86.67,86.67
S00128,jundiai,SP,12,12,0,0,805.65,805.65
S00133,louveira,SP,112,112,0,16070.98,16070.98,32141.96
S00138,uberlandia,MG,25,25,0,1613.78,1613.78,3227.56
S00146,Belo Horizonte,MG,1,1,0,30.86,0,30.86
S00147,canoas,RS,4,4,0,0,205.81,205.81
S00151,sao roque,SP,30,30,0,3000.18,3000.18,6000.36
S00155,rio de janeiro,RJ,6,6,0,436.99,436.99,873.98
S00160,tres coracoes,MG,40,40,6008.25,6008.25,6008.25,18024.75
S00162,ribeirao preto,SP,4,4,0,892.03,0,892.03
S00164,uberlandia,MG,52,52,0,5618.28,5618.28,11236.56
S00169,betim,MG,87,87,0,11316.85,11316.85,22633.7
S00171,francisco morato,SP,6,6,0,293.38,293.38,586.76
S00177,goiania,GO,3,3,0,0,294.1,294.1
S00181,franca,SP,4,4,0,0,481.38,481.38
S00185,florianopolis,SC,1,1,0,27.59,0,27.59
S00191,rio claro,SP,1,1,0,394.49,0,394.49
S00197,pederneiras,SP,9,9,0,1459.53,1459.53,2919.06
