product_id_values,avg_review,main_categories,total_quantity_sold,Revenue_2016,Revenue_2017,Revenue_2018,product_lifecycle,sellers_inolved,transaction_value,total_customers_bought
P17610,5,Beauty & Personal Care,4,0,259.9,0,only one year,4,1096.14,4
P20522,3,Electronics & Technology,4,0,0,249.99,only one year,4,1108.68,4
P10768,4,Beauty & Personal Care,4,0,258.99,0,only one year,4,1116.87,4
P16584,5,"Sports, Toys & Leisure",4,0,255,255,last two years,4,1133.96,4
P07027,3,Fashion & Accessories,4,0,270,270,last two years,4,1153.79,4
P10002,5,"Construction tools ,arts & Others",4,0,255,255,last two years,4,1196.96,4
P02944,4,Electronics & Technology,4,0,280.5,280.5,last two years,4,1211.92,4
P24919,4,Electronics & Technology,4,0,299.9,0,only one year,4,1249.11,4
P31034,4,"Sports, Toys & Leisure",4,0,278,278,last two years,4,1257.02,4
P16588,4,Home & Furniture,4,0,0,282.07,only one year,4,1258.24,4
P20543,5,Home & Furniture,4,0,0,259,only one year,4,1259.56,4
P32395,5,"Sports, Toys & Leisure",4,0,0,289.9,only one year,4,1347.84,4
P25311,4,Beauty & Personal Care,4,0,322.4,0,only one year,4,1355.31,4
P28467,4,Electronics & Technology,4,0,315,0,only one year,4,1377.39,4
P06151,3,"Sports, Toys & Leisure",4,0,340,340,last two years,4,1454.04,4
P21616,4,"Sports, Toys & Leisure",4,0,340,0,only one year,4,1464.88,4
P29196,3,Home & Furniture,4,0,329.9,329.9,last two years,4,1474.38,4
P17053,5,Home & Furniture,4,0,335,335,last two years,4,1516.67,4
P07676,5,"Sports, Toys & Leisure",4,0,0,369.9,only one year,4,1548.16,4
P22519,3,"Sports, Toys & Leisure",4,0,369.9,369.9,last two years,4,1590.41,4
P23468,4,Home & Furniture,4,0,0,399,only one year,4,1678.88,4
P07794,4,Electronics & Technology,4,0,422.49,422.49,last two years,4,1845.68,4
P10253,3,"Sports, Toys & Leisure",4,0,0,549,only one year,4,2270.36,4
P04009,3,"Sports, Toys & Leisure",4,0,0,552.5,only one year,4,2396.07,4
P29577,4,Home & Furniture,4,0,0,583,only one year,4,2478.26,4
P25756,4,"Construction tools ,arts & Others",4,0,594.9,0,only one year,4,2516.96,4
P30676,4,"Sports, Toys & Leisure",4,0,659,659,last two years,4,2839.33,4
P05787,3,Electronics & Technology,4,0,0,700.4,only one year,4,2878.69,4
P02394,5,Electronics & Technology,4,0,776.23,0,only one year,4,3184.17,4
P28864,4,Electronics & Technology,4,0,730,0,only one year,4,3189.96,4
P19237,4,Electronics & Technology,4,0,0,855,only one year,4,3562.1,4
P03342,3,Electronics & Technology,4,0,0,834.5,only one year,4,3644.26,4
P13584,5,Electronics & Technology,4,0,924.24,924.24,last two years,4,3803.13,4
P09991,3,"Construction tools ,arts & Others",4,0,0,1029.5,only one year,4,4203.47,4
P26297,4,Electronics & Technology,4,0,0,1077.5,only one year,4,4609.58,4
P08825,4,Beauty & Personal Care,4,0,0,1240,only one year,4,5259.36,4
P09170,2,Beauty & Personal Care,5,0,0,6.9,only one year,5,90.13,5
P04785,5,NULL,5,0,7.5,0,only one year,5,96.75,5
P21433,4,Electronics & Technology,5,0,0,9,only one year,5,101.02,5
P14067,4,Home & Furniture,5,0,7.56,0,only one year,5,118.35,5
P16037,4,"Sports, Toys & Leisure",5,0,0,14.3,only one year,5,123.7,5
P31839,4,"Sports, Toys & Leisure",5,0,13.32,13.32,last two years,5,129.6,5
P32026,5,"Construction tools ,arts & Others",5,0,11.6,0,only one year,5,129.68,5
P05729,4,Electronics & Technology,5,0,0,16.5,only one year,5,134.49,5
P14158,4,Home & Furniture,5,0,14,14,last two years,5,135.3,5
P25866,4,Home & Furniture,5,0,17.19,17.19,last two years,5,157.92,5
P29450,4,"Sports, Toys & Leisure",5,0,17.59,0,only one year,5,165.16,5
P06519,3,"Sports, Toys & Leisure",5,0,18.5,18.5,last two years,5,167.55,5
P28888,4,Beauty & Personal Care,5,0,24.18,0,only one year,5,171.43,5
P28780,4,Electronics & Technology,5,0,0,20.95,only one year,5,175.84,5
P01981,4,"Sports, Toys & Leisure",5,0,17.9,0,only one year,5,179.91,5
P14109,4,Electronics & Technology,5,0,26.99,0,only one year,5,184.54,5
P09700,3,"Sports, Toys & Leisure",5,0,21.9,21.9,last two years,5,186.87,5
P19842,4,Fashion & Accessories,5,0,27.3,27.3,last two years,5,187.33,5
P06268,4,Electronics & Technology,5,0,24.99,24.99,last two years,5,187.49,5
P26424,4,"Construction tools ,arts & Others",5,0,0,24.33,only one year,5,189.36,5
P26663,4,Home & Furniture,5,0,27.16,0,only one year,5,195.05,5
P22828,4,Electronics & Technology,5,0,25.7,25.7,last two years,5,195.54,5
P25387,3,Home & Furniture,5,0,26,26,last two years,5,196.5,5
P30564,4,Home & Furniture,5,0,0,25,only one year,5,197.21,5
P20906,2,Home & Furniture,5,0,25,0,only one year,5,199.05,5
